Predictor	AMR	AMR + Site	AMR + Site + ST	AMR + Site + ST + K	AMR + K	AMR + Site + K	AMR + ST + K	AMR + Site + ST + O	AMR + O	AMR + Site + O	AMR + ST + O
Site 19	-	2.5 [0.7,8.6], p=0.1580	2.6 [0.7,9.4], p=0.1570	2.4 [0.6,9.4], p=0.2400	-	2.2 [0.6,8.1], p=0.2350	-	3.4 [0.9,12.4], p=0.0730	-	2.8 [0.8,9.9], p=0.1190	-
Site 20	-	0.8 [0.3,2.8], p=0.7760	0.9 [0.3,2.9], p=0.8340	0.9 [0.3,3.1], p=0.9180	-	0.9 [0.3,2.9], p=0.8620	-	0.9 [0.3,3.0], p=0.8840	-	0.8 [0.3,2.8], p=0.7910	-
Site 5	-	0.7 [0.1,3.0], p=0.5900	0.6 [0.1,2.6], p=0.4620	0.6 [0.1,2.7], p=0.4840	-	0.6 [0.1,2.7], p=0.4750	-	0.6 [0.1,2.7], p=0.4640	-	0.7 [0.2,3.1], p=0.6390	-
Site 9	-	0.6 [0.2,2.3], p=0.4890	0.7 [0.2,2.7], p=0.6080	0.6 [0.1,2.2], p=0.4050	-	0.6 [0.2,2.4], p=0.5040	-	0.6 [0.1,2.3], p=0.4440	-	0.6 [0.2,2.3], p=0.4680	-
Site 23	-	0.2 [0.0,1.4], p=0.0660	0.2 [0.0,1.3], p=0.0600	0.2 [0.0,1.2], p=0.0500	-	0.2 [0.0,1.4], p=0.0800	-	0.2 [0.0,1.3], p=0.0690	-	0.3 [0.1,1.8], p=0.1460	-
Site 13	-	1.0 [0.3,3.7], p=0.9710	1.1 [0.3,4.2], p=0.9010	1.1 [0.3,4.1], p=0.9440	-	1.0 [0.3,3.8], p=0.9880	-	1.1 [0.3,4.3], p=0.8750	-	1.0 [0.3,3.9], p=0.9890	-
Site 7	-	1.4 [0.4,4.9], p=0.5800	1.3 [0.4,4.6], p=0.6510	1.2 [0.3,4.1], p=0.8000	-	1.3 [0.4,4.6], p=0.6770	-	1.4 [0.4,4.9], p=0.5830	-	1.6 [0.5,5.4], p=0.5000	-
Site 21	-	0.6 [0.1,2.6], p=0.4890	0.5 [0.1,2.2], p=0.3350	0.6 [0.1,2.6], p=0.4830	-	0.6 [0.1,2.7], p=0.5140	-	0.6 [0.1,2.7], p=0.5060	-	0.6 [0.1,2.7], p=0.5230	-
Site 15B	-	0.4 [0.1,2.2], p=0.2480	0.3 [0.1,2.1], p=0.2130	0.3 [0.1,2.2], p=0.2410	-	0.3 [0.1,2.0], p=0.1870	-	0.3 [0.1,2.1], p=0.2220	-	0.4 [0.1,2.3], p=0.2510	-
Site 15A	-	0.1 [0.0,2.0], p=0.0441	0.1 [0.0,2.0], p=0.0530	0.1 [0.0,1.1], p=0.0126	-	0.1 [0.0,1.5], p=0.0198	-	0.1 [0.0,2.1], p=0.0580	-	0.1 [0.0,2.1], p=0.0500	-
ST307	-	-	1.4 [0.7,2.7], p=0.4140	1.2 [0.3,4.6], p=0.7840	-	-	1.4 [0.4,5.2], p=0.6340	1.0 [0.5,2.3], p=0.9530	-	-	1.0 [0.5,2.2], p=0.9320
ST39	-	-	1.2 [0.6,2.7], p=0.6300	0.7 [0.2,2.3], p=0.5950	-	-	0.9 [0.3,2.5], p=0.7870	1.3 [0.5,3.0], p=0.5930	-	-	1.3 [0.6,3.0], p=0.5060
ST14	-	-	1.8 [0.8,3.9], p=0.1320	1.9 [0.6,6.0], p=0.2920	-	-	2.3 [0.8,6.8], p=0.1530	2.0 [0.9,4.5], p=0.1000	-	-	2.2 [1.0,4.7], p=0.0550
ST1741	-	-	20.9 [1.2,363.7], p=0.0131	26.3 [1.5,455.9], p=0.0076	-	-	7.2 [1.5,35.8], p=0.0138	22.6 [1.3,401.9], p=0.0120	-	-	7.4 [1.5,37.5], p=0.0134
ST35	-	-	2.2 [0.6,8.5], p=0.2450	2.4 [0.6,9.2], p=0.2140	-	-	4.6 [1.3,16.3], p=0.0215	2.6 [0.7,10.0], p=0.1830	-	-	5.0 [1.4,17.9], p=0.0158
ST17	-	-	2.2 [1.1,4.5], p=0.0302	3.5 [1.4,8.7], p=0.0113	-	-	3.2 [1.3,7.7], p=0.0100	3.8 [1.4,10.3], p=0.0105	-	-	3.1 [1.2,8.1], p=0.0215
ST45	-	-	2.4 [0.9,6.4], p=0.1030	2.5 [0.9,6.9], p=0.0820	-	-	3.1 [1.2,8.1], p=0.0262	2.0 [0.7,5.8], p=0.2060	-	-	2.6 [0.9,7.0], p=0.0760
ST15	-	-	0.7 [0.2,2.7], p=0.6520	0.8 [0.2,2.9], p=0.6940	-	-	0.6 [0.2,2.2], p=0.4510	0.8 [0.2,2.9], p=0.6990	-	-	0.7 [0.2,2.3], p=0.4860
ST29	-	-	2.6 [0.7,8.9], p=0.1630	2.5 [0.7,9.6], p=0.1880	-	-	1.9 [0.5,7.1], p=0.3350	2.8 [0.8,9.9], p=0.1430	-	-	2.2 [0.7,7.3], p=0.2230
ST152	-	-	3.0 [0.7,12.8], p=0.1610	2.0 [0.2,18.2], p=0.5450	-	-	1.4 [0.2,11.6], p=0.7430	1.9 [0.4,9.4], p=0.4470	-	-	1.4 [0.3,6.8], p=0.6840
ST101	-	-	2.0 [0.7,6.1], p=0.2210	2.5 [0.4,14.7], p=0.3490	-	-	2.4 [0.4,13.6], p=0.3570	2.2 [0.7,7.0], p=0.1960	-	-	1.9 [0.6,5.8], p=0.2560
ST48	-	-	1.6 [0.5,5.5], p=0.4570	0.4 [0.1,2.2], p=0.2830	-	-	0.8 [0.2,3.5], p=0.7270	1.8 [0.5,6.3], p=0.3930	-	-	2.0 [0.6,6.9], p=0.2620
ST25	-	-	1.0 [0.3,3.5], p=0.9940	1.1 [0.2,5.9], p=0.9170	-	-	1.1 [0.2,5.8], p=0.8800	1.1 [0.3,3.8], p=0.9410	-	-	1.0 [0.3,3.6], p=0.9640
ST607	-	-	1.4 [0.4,4.2], p=0.6180	3.1 [0.7,14.4], p=0.1700	-	-	3.1 [0.7,13.6], p=0.1460	1.4 [0.4,4.8], p=0.5500	-	-	1.8 [0.6,5.9], p=0.3420
KL102	-	-	-	1.2 [0.4,4.2], p=0.7560	1.0 [0.6,1.9], p=0.9380	1.1 [0.6,2.1], p=0.7770	1.0 [0.3,3.6], p=0.9510	-	-	-	-
KL2	-	-	-	1.1 [0.3,3.2], p=0.9300	1.0 [0.6,1.9], p=0.9330	1.1 [0.6,2.2], p=0.7230	0.9 [0.3,2.7], p=0.8580	-	-	-	-
KL25	-	-	-	0.5 [0.2,1.4], p=0.1900	1.1 [0.6,2.1], p=0.8280	1.0 [0.5,2.0], p=0.9590	0.6 [0.2,1.6], p=0.2640	-	-	-	-
KL62	-	-	-	4.8 [1.3,17.5], p=0.0250	1.8 [0.8,3.8], p=0.1490	2.2 [0.9,5.0], p=0.0760	2.6 [0.9,7.5], p=0.0850	-	-	-	-
KL15	-	-	-	1.8 [0.7,4.3], p=0.2380	1.7 [0.7,3.9], p=0.2390	1.4 [0.6,3.5], p=0.4510	2.0 [0.9,4.8], p=0.1170	-	-	-	-
KL30	-	-	-	1.2 [0.4,3.4], p=0.7170	1.3 [0.5,3.3], p=0.5360	1.4 [0.5,3.6], p=0.5280	1.2 [0.4,3.3], p=0.7680	-	-	-	-
KL23	-	-	-	1.7 [0.6,5.1], p=0.3900	1.2 [0.4,3.3], p=0.7570	1.4 [0.5,4.0], p=0.5570	1.4 [0.5,4.1], p=0.5780	-	-	-	-
KL17	-	-	-	0.9 [0.1,6.2], p=0.9110	1.2 [0.4,3.7], p=0.7470	1.5 [0.5,4.7], p=0.5330	0.8 [0.1,5.1], p=0.7970	-	-	-	-
KL149	-	-	-	1.6 [0.2,10.1], p=0.6540	1.6 [0.6,4.5], p=0.4010	1.4 [0.4,4.3], p=0.6160	1.9 [0.4,9.9], p=0.4670	-	-	-	-
KL39	-	-	-	1.2 [0.3,4.3], p=0.7680	0.9 [0.3,3.0], p=0.8510	0.9 [0.3,3.2], p=0.9000	1.2 [0.3,4.2], p=0.7680	-	-	-	-
O2	-	-	-	-	-	-	-	1.4 [0.7,2.7], p=0.3260	1.2 [0.8,1.9], p=0.3540	1.2 [0.8,2.0], p=0.3610	1.4 [0.8,2.7], p=0.2910
O3	-	-	-	-	-	-	-	0.7 [0.3,1.7], p=0.4100	0.6 [0.2,1.3], p=0.1730	0.5 [0.2,1.3], p=0.1680	0.7 [0.3,1.8], p=0.4930
O4	-	-	-	-	-	-	-	1.6 [0.7,3.9], p=0.2750	1.6 [0.8,3.1], p=0.2330	1.4 [0.7,2.9], p=0.4050	1.9 [0.8,4.5], p=0.1290
O5	-	-	-	-	-	-	-	0.4 [0.1,1.4], p=0.1480	1.2 [0.5,2.5], p=0.7100	0.9 [0.4,2.2], p=0.9120	0.6 [0.2,1.9], p=0.3820
Other	-	-	-	-	-	-	-	1.2 [0.4,3.6], p=0.7800	1.2 [0.4,3.2], p=0.7320	1.1 [0.4,3.0], p=0.8640	1.2 [0.4,3.7], p=0.7350
