ST	n_clusters	n_isolates	n_isolates_clusters	n_isolates_singletons	n_countries	n_countries_clusters	n_countries_singletons	n_sites	n_sites_clusters	n_sites_singletons	n_clones	n_clones_clusters	n_clones_singletons	mean_res_score	mean_res_score_clusters	mean_res_score_singletons	median_cluster_size	median_outbreak_duration
ST133	0	2	0	2	1	0	1	2	0	2	1	0	1	1	NA	1	NA	NA
ST1401	0	2	0	2	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST1425	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST1427	0	4	0	4	3	0	3	3	0	3	1	0	1	1	NA	1	NA	NA
ST147	0	8	0	8	3	0	3	3	0	3	1	0	1	1.1	NA	1.1	NA	NA
ST1486	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST1530	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST161	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST163	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST170	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST1777	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST1786	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST18	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST1800	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST1855	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST1873	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST1877	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST1927	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST1958	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST198	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST200	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST2039	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST22	0	4	0	4	2	0	2	3	0	3	1	0	1	0.8	NA	0.8	NA	NA
ST225	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST234	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST2439	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST245-2LV	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST256	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST2597	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST261	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST2621	0	1	0	1	1	0	1	1	0	1	1	0	1	2	NA	2	NA	NA
ST2665	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST268	0	2	0	2	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST2800	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST29-1LV	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST292	0	3	0	3	2	0	2	3	0	3	1	0	1	0	NA	0	NA	NA
ST297	0	1	0	1	1	0	1	1	0	1	1	0	1	2	NA	2	NA	NA
ST307-1LV	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST313	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST3132	0	3	0	3	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST3140	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST3184	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST322	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST323	0	2	0	2	2	0	2	2	0	2	1	0	1	0.5	NA	0.5	NA	NA
ST3248	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST33	0	2	0	2	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST336	0	3	0	3	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
