iso1,iso2,dist,weeks,pair_location
103132,108059,9633,34.6,Same
103132,108242,355,36.7,Same
103132,108243,355,36.7,Same
103132,108297,355,37.4,Same
103132,108372,355,38.4,Same
103132,108386,356,39.9,Same
103132,108396,355,40.6,Same
103132,108403,355,41.1,Same
103132,108404,355,41.3,Same
103132,108410,9463,41.9,Same
103132,108550,9150,53.9,Same
103132,108594,9149,57.7,Same
103132,108620,9846,60.4,Same
103132,109463,9631,67.4,Same
103132,109575,9992,70.1,Same
103132,109644,9991,71.3,Same
103132,109794,9781,75.6,Same
103132,110274,9220,83.7,Same
103132,110517,9499,88.4,Same
103132,110687,9553,92,Same
103132,112036,9418,109.6,Same
103132,112163,2794,110.3,Same
103132,112311,9875,113.4,Same
103132,112334,9265,115,Same
103132,113298,9593,126.9,Same
103132,113443,9389,131.3,Same
103132,113974,9362,139.6,Same
103132,114233,9555,144.3,Same
103132,115359,8665,154.3,Same
103132,115514,9500,154.9,Same
103132,116433,9459,158.1,Same
103132,117956,9689,172.9,Same
103132,117990,9541,174,Same
103132,117991,8840,173.9,Same
103132,118002,9677,174.1,Same
103132,118062,9691,174.7,Same
103132,118071,9599,174.9,Same
103132,118802,9677,184.6,Same
103132,120547,10207,195.3,Same
103132,120784,9462,198.9,Same
103132,120896,9262,200.6,Same
103132,60308,1916,336.1,Same
103132,60695,10263,328.3,Same
103132,60726,10245,327.4,Same
103132,60733,10263,327.4,Same
103132,60737,1958,327.3,Same
103132,60739,10271,327.1,Same
103132,60826,10285,326,Same
103132,60827,10273,325.9,Same
103132,60883,10260,325.1,Same
103132,60914,10276,324.6,Same
103132,60930,10282,324.3,Same
103132,60952,10233,323.9,Same
103132,60953,9886,323.9,Same
103132,61157,1953,321.9,Same
103132,61271,9527,320.4,Same
103132,61918,1933,313,Same
103132,63004,1951,302.1,Same
103132,63770,9984,293.3,Same
103132,64476,7794,272.3,Same
103132,64602,9738,268,Same
103132,64631,9777,267.3,Same
103132,65002,6786,257.4,Same
103132,65516,9443,245.7,Same
103132,65587,9606,241.3,Same
103132,65614,9333,240,Same
103132,65830,334,231.1,Same
103132,65858,9950,230.1,Same
103132,65881,9988,229.3,Same
103132,65885,10287,229,Same
103132,65889,9983,228.9,Same
103132,65931,9680,227.3,Same
103132,65962,8959,225.3,Same
103132,66013,9413,221.3,Same
103132,66044,7038,219.4,Same
103132,66181,9970,211.6,Same
103132,66470,9190,203.6,Same
103132,66673,9219,200.6,Same
103132,66721,10286,199.9,Same
103132,66722,9281,200,Same
103132,66761,9453,198.6,Same
103132,66762,9449,198.6,Same
103132,66778,9453,198.4,Same
103132,66793,9453,198,Same
103132,66840,9453,196.9,Same
103132,66997,9596,191.9,Same
103132,67202,9883,179.4,Same
103132,67403,9669,173.1,Same
103132,67467,9883,172.1,Same
103132,67468,9453,172.3,Same
103132,67469,7980,172.1,Same
103132,67470,6649,172.3,Same
103132,67480,9453,172.1,Same
103132,67503,9452,171.9,Same
103132,67635,9931,169.3,Same
103132,67641,9932,169.1,Same
103132,67645,9932,169,Same
103132,67713,9428,167,Same
103132,67756,9410,166,Same
103132,67759,9410,166,Same
103132,67762,9410,166,Same
103132,67814,9456,165.4,Same
103132,67865,9932,164.3,Same
103132,68009,9250,162.3,Same
103132,68745,9701,155.4,Same
103132,68879,9450,154.1,Same
103132,69206,8968,151.6,Same
103132,69564,8968,149.3,Same
103132,69687,8968,147.7,Same
103132,69728,8968,147.4,Same
103132,70650,9961,135.1,Same
103132,70875,9292,125.1,Same
103132,71359,9497,119.3,Same
103132,75028,9427,95,Same
103132,77559,2736,80.9,Same
103132,77837,2855,77.9,Same
103132,77856,2851,77.7,Same
